,k,window_width,update_interval,total_profit,valid_break_num,max_position,total_trade_size
0,1,1800,1800,-11991459.426649377,158424,30000000.0,10645453
0,1.5,1800,1800,16539923.009776287,73907,30000000.0,4841475
0,2.0,1800,1800,22743349.173199654,32495,30000000.0,2361063
0,2.5,1800,1800,21787964.045870643,14365,30000000.0,1324115
0,3,1800,1800,20532359.88604006,7022,30000000.0,808647
0,1,3600,1800,-4494343.462562278,140444,30000000.0,9319003
0,1,3600,3600,-4122767.2622790337,138032,30000000.0,9298256
0,1.5,3600,1800,19060750.83596746,59417,30000000.0,4025654
0,1.5,3600,3600,19274810.65040674,58278,30000000.0,4000063
0,2.0,3600,1800,23429666.826029543,24423,30000000.0,1991695
0,2.0,3600,3600,23438809.888069235,23281,30000000.0,1981299
0,2.5,3600,1800,21685926.517970063,10462,30000000.0,1097567
0,2.5,3600,3600,21859738.70140008,9647,30000000.0,1080077
0,3,3600,1800,20473618.089549962,4699,30000000.0,663516
0,3,3600,3600,20612825.889090005,5011,30000000.0,668592
0,1,7200,1800,1805662.5441028178,122399,30000000.0,8177414
0,1,7200,3600,1964438.6296323985,119434,30000000.0,8109886
0,1.5,7200,1800,21461829.384777717,47135,30000000.0,3376288
0,1.5,7200,3600,21537241.216408335,45773,30000000.0,3376843
0,2.0,7200,1800,23938903.86684956,18304,30000000.0,1642053
0,2.0,7200,3600,24050256.213489998,17997,30000000.0,1617388
0,2.5,7200,1800,22695159.624429993,7308,30000000.0,898888
0,2.5,7200,3600,22826645.470200077,7338,30000000.0,905194
0,3,7200,1800,21076148.05099995,3717,30000000.0,587813
0,3,7200,3600,21101727.264009923,3811,30000000.0,577041
0,1,14400,1800,6137809.660069719,104394,30000000.0,7098520
0,1,14400,3600,6070984.600398794,104726,30000000.0,7221862
0,1.5,14400,1800,22704420.990760177,39599,30000000.0,2942184
0,1.5,14400,3600,22767334.552460343,39279,30000000.0,2984462
0,2.0,14400,1800,24361757.236380257,13787,30000000.0,1426776
0,2.0,14400,3600,24437517.299820222,14120,30000000.0,1436584
0,2.5,14400,1800,22827204.86089004,5741,30000000.0,813650
0,2.5,14400,3600,22944144.54773011,6014,30000000.0,833384
0,3,14400,1800,21951192.32292004,3203,30000000.0,517848
0,3,14400,3600,21925689.340430047,3059,30000000.0,519710
